order_id,order_date,customer_id,product_id,quantity,unit_price,status
10001,2026-09-01,C001,P001,2,150000,completed
10002,2026-09-01,C002,P003,1,75000,completed
10003,2026-09-02,C001,P002,3,50000,cancelled
10004,2026-09-02,C003,P001,1,150000,completed
10005,2026-09-03,C004,P004,5,25000,completed
10006,2026-09-03,C002,P002,2,50000,completed
10007,2026-09-04,C005,P003,1,75000,pending
10008,2026-09-04,C001,P004,4,25000,completed
10009,2026-09-05,C003,P001,2,150000,completed
10010,2026-09-05,C006,P002,1,50000,completed
